address,in_wallet,staked,unstaking,in_terraswap_mars_ust_pair,in_astroport_mars_ust_pair,in_astroport_xmars_mars_pair,in_generator,in_apollo,in_spec,in_auction,in_council,total
terra1mw242wwmgdesg26ujtkt2s8q2yj3rnqtsklmxp,42589072043,0,0,0,0,0,0,0,0,0,0,42589072043
terra1jq0rmjy65gpp7xk2cjzgv74e0rgt6y5dy22kwq,0,0,0,0,0,0,0,0,0,42367754450,0,42367754450
terra1h3pkq98pclhqxq0esqtng3kuzggqwpt3frku22,0,42200686553,0,0,0,0,0,0,0,0,0,42200686553
terra14rhxm5szhwg3rdzq3yc46vpjhqfsfuupn92yfc,158538098,31132824819,0,0,0,0,8652554531,0,0,1741701762,0,41685619210
terra1l9ac7tdredxfsxtg65x7vfyn6fg009nmpu8073,24680,23751639979,0,0,0,0,8260404333,0,0,9447247622,0,41459316614
terra1v8z338eal3n5w7v9xgcgkn8dpnvfm5kw6d5g5k,0,37009439960,0,0,0,0,3020816376,0,0,1221428493,0,41251684828
terra1h0w67ysrzstmrwyg4uckdzl88phf0r7qewrtj2,40132323632,1000627990,0,0,0,0,0,0,0,0,0,41132951622
terra1wtjfazdwh7d6n5k844dxv4gaz8qlk80ep2qqn3,0,0,0,0,0,0,0,0,0,41005677561,0,41005677561
terra1hf75a33f34j6wp9k64gqhdk5uy2hpsy0r88mnf,566803979,0,0,0,0,0,36222976551,0,0,4118279269,0,40908059798
terra1c3czr8s5wcfhlkl953nxle3v60q8x6vxdhg9yd,0,0,0,0,0,0,0,0,0,40456738917,0,40456738917
terra1zmtxussh926stpdzsch837fpy2ca0yygzaftt5,29768627693,10428989358,0,0,0,0,0,0,0,0,0,40197617051
terra10yxan7x3ug0cd8qaev849edm4ajy9zfe0pm3xa,29327179590,0,9176512512,0,0,0,0,0,0,0,0,38503692102
terra19n50q2tl0qzh7fmn96sce2yzgnkh0kt8sshmf7,25613031344,0,0,0,0,0,0,0,0,12851253985,0,38464285329
terra1up6rqvaj8uyw4rtymcrla2xm02kjg6xp6a9t3p,0,0,34885401383,0,0,0,0,0,0,3167261025,0,38052662408
